Datetime (Local Time),Water Level (m)
2019/09/15 13:35,3.28
2019/09/15 13:40,2.44
2019/09/15 13:45,1.91
2019/09/15 13:50,2.38
2019/09/15 13:55,2.42
2019/09/15 14:00,3.48
2019/09/15 14:05,2.29
2019/09/15 14:10,2.45
2019/09/15 14:15,2.41
2019/09/15 14:20,3.39
2019/09/15 14:25,3.7
2019/09/15 14:30,2.87
2019/09/15 14:35,2.32
2019/09/15 14:40,2.8
2019/09/15 14:45,2.48
2019/09/15 14:50,3.14
2019/09/15 14:55,2.54
2019/09/15 15:00,3.21
2019/09/15 15:05,3.16
2019/09/15 15:10,2.5
2019/09/15 15:15,3
2019/09/15 15:20,2.34
2019/09/15 15:25,3.55
2019/09/15 15:30,2.29
2019/09/15 15:35,2.98
2019/09/15 15:40,3.11
2019/09/15 15:45,2.7
2019/09/15 15:50,2.42
2019/09/15 15:55,3.36
2019/09/15 16:00,3.31
2019/09/15 16:05,3.26
2019/09/15 16:10,2.5
2019/09/15 16:15,2.9
2019/09/15 16:20,3.25
2019/09/15 16:25,2.37
2019/09/15 16:30,2.78
2019/09/15 16:35,2.75
2019/09/15 16:40,3.01
2019/09/15 16:45,2.61
2019/09/15 16:50,2.73
2019/09/15 16:55,3.31
2019/09/15 17:00,2.96
2019/09/15 17:05,2.42
2019/09/15 17:10,3.58
2019/09/15 17:15,2.89
2019/09/15 17:20,2.11
2019/09/15 17:25,2.65
2019/09/15 17:30,2.82
2019/09/15 17:35,2.24
2019/09/15 17:40,2.23
2019/09/15 17:45,2.43
2019/09/15 17:50,3.34
2019/09/15 17:55,2.28
2019/09/15 18:00,2.51
2019/09/15 18:05,2.48
2019/09/15 18:10,2.58
2019/09/15 18:15,2.95
2019/09/15 18:25,2.37
2019/09/15 18:30,3.32
2019/09/15 18:35,2.23
2019/09/15 18:40,2.53
2019/09/15 18:45,2.08
2019/09/15 18:50,2.26
2019/09/15 18:55,2.63
2019/09/15 19:00,2.41
2019/09/15 19:05,1.84
2019/09/15 19:10,2.45
2019/09/15 19:20,2.53
2019/09/15 19:25,2.48
2019/09/15 19:30,2.52
2019/09/15 19:35,2.88
2019/09/15 19:40,2.13
2019/09/15 19:45,2.52
2019/09/15 19:50,2.13
2019/09/15 19:55,2.61
2019/09/15 20:00,2.28
2019/09/15 20:05,2.56
2019/09/15 20:10,2.42
2019/09/15 20:15,2.29
2019/09/15 20:20,3
2019/09/15 20:25,2.45
2019/09/15 20:30,2.53
2019/09/15 20:35,2.36
2019/09/15 20:40,2.29
2019/09/15 20:45,3.05
2019/09/15 20:50,2.44
2019/09/15 20:55,2.25
2019/09/15 21:00,2.16
2019/09/15 21:05,2.34
2019/09/15 21:10,3.08
2019/09/15 21:20,2.42
2019/09/15 21:25,2.25
2019/09/15 21:35,2.4
2019/09/15 21:40,2.9
2019/09/15 21:45,2.51
2019/09/15 21:50,2.45
2019/09/15 21:55,2.22
2019/09/15 22:00,2.04
2019/09/15 22:05,2.49
2019/09/15 22:10,2.77
2019/09/15 22:15,2.4
2019/09/15 22:20,2.45
2019/09/15 22:25,2.23
2019/09/15 22:30,2
2019/09/15 22:35,2.19
2019/09/15 22:40,3
2019/09/15 22:45,2.59
2019/09/15 22:50,2.13
2019/09/15 22:55,2.07
2019/09/15 23:00,2.5
2019/09/15 23:05,2.09
2019/09/15 23:10,2.32
2019/09/15 23:15,2.35
2019/09/15 23:20,2.22
2019/09/15 23:25,2.05
2019/09/15 23:30,2.55
2019/09/15 23:35,2.24
2019/09/15 23:40,2.85
2019/09/15 23:45,2.12
2019/09/15 23:50,2.56
2019/09/15 23:55,2.55
2019/09/16 00:00,2.52
2019/09/16 00:05,2.23
2019/09/16 00:10,2.09
2019/09/16 00:15,2.64
2019/09/16 00:20,2.61
2019/09/16 00:25,2.49
2019/09/16 00:30,2.37
2019/09/16 00:35,2.56
2019/09/16 00:40,2.32
2019/09/16 00:45,1.92
2019/09/16 00:50,2.28
2019/09/16 00:55,2.31
2019/09/16 01:00,2.04
2019/09/16 01:05,1.88
2019/09/16 01:10,1.95
2019/09/16 01:15,2.05
2019/09/16 01:20,2.3
2019/09/16 01:25,1.9
2019/09/16 01:30,2.16
2019/09/16 01:35,2.67
2019/09/16 01:40,2
2019/09/16 01:45,2.31
2019/09/16 01:50,2.06
2019/09/16 01:55,2.96
2019/09/16 02:00,2.75
2019/09/16 02:05,2.04
2019/09/16 02:10,1.91
2019/09/16 02:15,2.18
2019/09/16 02:20,2.19
2019/09/16 02:25,1.95
2019/09/16 02:30,2.14
2019/09/16 02:35,2.5
2019/09/16 02:40,2.88
2019/09/16 02:45,2.63
2019/09/16 02:50,2.78
2019/09/16 02:55,2
2019/09/16 03:00,2.55
2019/09/16 03:05,1.93
2019/09/16 03:10,2.52
2019/09/16 03:15,2.08
2019/09/16 03:20,2.51
2019/09/16 03:25,2.81
2019/09/16 03:30,2.31
2019/09/16 03:35,2.55
2019/09/16 03:40,2.19
2019/09/16 03:50,2.36
2019/09/16 03:55,2.01
2019/09/16 04:05,2.26
2019/09/16 04:10,2.28
2019/09/16 04:15,2.48
2019/09/16 04:20,2.27
2019/09/16 04:25,2.02
2019/09/16 04:30,2.28
2019/09/16 04:35,2.51
2019/09/16 04:40,2.71
2019/09/16 04:45,2.41
